"id_medico","nome","num_ordem","especialidade_id","telefone"
"1","Tallie Biddle","ORD-0001","46","846-729-0662"
"2","Ailey Condliffe","ORD-0002","4","469-358-1485"
"3","Damon Strafford","ORD-0003","24","404-537-5707"
"4","Rik Camp","ORD-0004","53","942-936-1398"
"5","Roderick Cathcart","ORD-0005","8","483-257-9324"
"6","Westley Duggan","ORD-0006","62","222-899-9483"
"7","Corby Deehan","ORD-0007","21","650-458-1893"
"8","Mata Gullefant","ORD-0008","88","309-744-1556"
"9","Ingaborg Beauman","ORD-0009","95","751-676-0254"
"10","Katrina Agett","ORD-0010","84","874-228-2790"
"11","Cad Bernardt","ORD-0011","22","432-410-1814"
"12","Jamil Chataignier","ORD-0012","87","862-791-9264"
"13","Isabeau Hickenbottom","ORD-0013","98","719-493-1676"
"14","Fania Caselli","ORD-0014","34","721-853-5861"
"15","Reed Collis","ORD-0015","82","428-380-3333"
"16","Valdemar Beckson","ORD-0016","11","549-569-7745"
"17","Tuckie Scrange","ORD-0017","59","170-548-8400"
"18","Virgina Dalton","ORD-0018","44","255-750-6370"
"19","Prince Penhale","ORD-0019","55","989-259-1158"
"20","Lia Cockell","ORD-0020","25","709-997-4800"
"21","Ashil Tittletross","ORD-0001","45","925-949-0215"
"22","Vernon Crewther","ORD-0002","87","500-741-2386"
"23","Tanney Fratson","ORD-0003","71","433-229-4243"
"24","Horatius Finnigan","ORD-0004","71","165-230-3503"
"25","Judah Skylett","ORD-0005","96","596-931-4777"
"26","Cordelie Shallcroff","ORD-0006","19","469-253-1312"
"27","Marten Kibbe","ORD-0007","85","202-792-3060"
"28","Rowland Barkes","ORD-0008","9","908-336-6178"
"29","Mufinella Wegner","ORD-0009","72","684-539-3881"
"30","Lutero Poulson","ORD-0010","94","864-508-5316"
"31","Torrence Piscopiello","ORD-0011","11","422-613-8641"
"32","Micky Feetham","ORD-0012","30","294-642-2330"
"33","Fairfax Lannen","ORD-0013","55","252-964-0950"
"34","Silvain Southwick","ORD-0014","56","357-695-8127"
"35","Heidi Illston","ORD-0015","59","900-597-8813"
"36","Michel Strangwood","ORD-0016","38","736-381-8171"
"37","Samuele Gabriely","ORD-0017","79","358-663-4099"
"38","Jamie Lukins","ORD-0018","42","138-547-3182"
"39","Dallas Frascone","ORD-0019","39","388-680-9249"
"40","Conrade Ratie","ORD-0020","46","305-669-8284"
"41","Roselia McGrail","ORD-0001","63","780-258-2225"
"42","Earle Guinness","ORD-0002","44","497-803-0432"
"43","Lydia Kesten","ORD-0003","30","477-694-1606"
"44","Cointon Filochov","ORD-0004","84","202-720-2109"
"45","Vaclav Tullis","ORD-0005","80","535-771-8865"
"46","Karlotte Prati","ORD-0006","48","155-787-0276"
"47","Maryann Markwelley","ORD-0007","15","933-576-8373"
"48","Griffin Woodes","ORD-0008","76","804-901-6872"
"49","Dian Gauvain","ORD-0009","63","297-948-9103"
"50","Yvonne L''Amie","ORD-0010","57","463-983-0133"
"51","Gawain Noen","ORD-0011","76","565-527-0717"
"52","Samaria Midden","ORD-0012","9","243-991-1409"
"53","Nicolis Stiebler","ORD-0013","26","898-595-5819"
"54","Welbie Antos","ORD-0014","50","797-320-4277"
"55","Priscella Ramlot","ORD-0015","17","995-502-6767"
"56","Erhart Broek","ORD-0016","83","471-198-1237"
"57","Rina Dammarell","ORD-0017","78","557-988-3148"
"58","Vevay McGerraghty","ORD-0018","46","705-778-0102"
"59","Martin Tibald","ORD-0019","58","507-175-8339"
"60","Guillemette Hought","ORD-0020","71","139-920-1583"
"61","Bobbi Gettens","ORD-0001","12","562-640-3564"
"62","Ethyl Bennough","ORD-0002","16","650-716-2756"
"63","Angeli McLevie","ORD-0003","21","746-457-0538"
"64","Coral Found","ORD-0004","81","409-440-3609"
"65","Willy Easman","ORD-0005","85","977-616-9916"
"66","Joann Hully","ORD-0006","22","300-920-0465"
"67","Jeffrey Lillico","ORD-0007","99","976-382-9856"
"68","Paolina Blenkinsop","ORD-0008","61","560-159-5289"
"69","Gratiana Dielhenn","ORD-0009","38","150-440-0691"
